Date,High,Low,Open,Close,Volume
2021-06-01,3250.97998046875,3209.06005859375,3243.5,3218.64990234375,2430000
2021-06-02,3235.0,3208.0,3223.10009765625,3233.989990234375,2014500
2021-06-03,3214.43994140625,3184.030029296875,3204.22998046875,3187.010009765625,2398300
2021-06-04,3221.0,3198.81005859375,3212.0,3206.219970703125,2249700
2021-06-07,3208.0,3172.199951171875,3197.330078125,3198.010009765625,2215800
2021-06-08,3279.530029296875,3218.010009765625,3222.610107421875,3264.110107421875,3416700
2021-06-09,3297.580078125,3270.699951171875,3272.8701171875,3281.14990234375,2455500
2021-06-10,3351.0,3281.14990234375,3282.010009765625,3349.64990234375,3476500
2021-06-11,3366.580078125,3333.449951171875,3349.64990234375,3346.830078125,2817400
2021-06-14,3385.0,3335.5,3346.830078125,3383.8701171875,2569700
2021-06-15,3396.989990234375,3363.110107421875,3384.0,3383.1298828125,2426200
2021-06-16,3426.35009765625,3360.530029296875,3392.0,3415.25,4202800
2021-06-17,3497.199951171875,3401.0,3403.179931640625,3489.239990234375,5136500
2021-06-18,3507.0,3473.7099609375,3479.989990234375,3486.89990234375,5247700
2021-06-21,3482.0,3434.0,3476.419921875,3453.9599609375,3277100
2021-06-22,3523.780029296875,3456.090087890625,3458.06005859375,3505.43994140625,3345100
2021-06-23,3521.0,3483.199951171875,3505.0,3503.820068359375,2813300
2021-06-24,3524.860107421875,3430.85009765625,3507.639892578125,3449.080078125,3832000
2021-06-25,3464.820068359375,3394.179931640625,3464.0,3401.4599609375,3941000
2021-06-28,3448.0,3413.510009765625,3416.0,3443.889892578125,2242800
2021-06-29,3456.030029296875,3423.030029296875,3438.820068359375,3448.139892578125,2098400
2021-06-30,3471.60009765625,3435.0,3441.06005859375,3440.159912109375,2404000
2021-07-01,3457.0,3409.419921875,3434.610107421875,3432.969970703125,2037100
2021-07-02,3511.719970703125,3436.919921875,3451.639892578125,3510.97998046875,3169400
2021-07-06,3685.47998046875,3529.0,3530.110107421875,3675.739990234375,6744800
2021-07-07,3734.199951171875,3678.909912109375,3717.3798828125,3696.580078125,5328100
2021-07-08,3759.989990234375,3621.1201171875,3643.56005859375,3731.409912109375,5180600
2021-07-09,3748.0,3693.39990234375,3722.52001953125,3719.340087890625,3748200
2021-07-12,3757.2900390625,3696.7900390625,3744.0,3718.550048828125,2571600
2021-07-13,3773.080078125,3671.320068359375,3702.10009765625,3677.360107421875,3845900
2021-07-14,3717.659912109375,3660.830078125,3708.85009765625,3681.679931640625,3296600
2021-07-15,3695.39990234375,3620.919921875,3694.199951171875,3631.199951171875,3185300
2021-07-16,3646.06005859375,3570.4599609375,3633.31005859375,3573.6298828125,4043700
2021-07-19,3550.2099609375,3499.159912109375,3532.580078125,3549.590087890625,3784600
2021-07-20,3592.0,3518.0,3567.320068359375,3573.18994140625,3255700
2021-07-21,3586.449951171875,3543.639892578125,3576.3798828125,3585.199951171875,2319000
2021-07-22,3640.02001953125,3582.27001953125,3587.22998046875,3638.030029296875,3265400
2021-07-23,3666.110107421875,3622.0400390625,3640.0,3656.639892578125,2436300
2021-07-26,3712.080078125,3647.25,3673.169921875,3699.820068359375,2900100
2021-07-27,3698.5,3586.14990234375,3698.5,3626.389892578125,4131900
